@relation exemplo4_weka-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R28-34-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R2_clustered

@attribute Instance_number numeric
@attribute year numeric
@attribute saturation numeric
@attribute tamura_contrast numeric
@attribute arousal numeric
@attribute pleasure numeric
@attribute dominance numeric
@attribute hue_m numeric
@attribute sat_m numeric
@attribute val_m numeric
@attribute black numeric
@attribute blue numeric
@attribute brown numeric
@attribute green numeric
@attribute gray numeric
@attribute orange numeric
@attribute pink numeric
@attribute purple numeric
@attribute red numeric
@attribute white numeric
@attribute yellow numeric
@attribute entropy_r numeric
@attribute entropy_g numeric
@attribute entropy_b numeric
@attribute count numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
2445,1989,214.96413,0.36696,124.33857,57.61963,80.16376,163.11418,54.28,43.74386,0.97645,0,0.0171,0,0.00381,0.00024,0.00132,0.00074,0,0.00034,0,4.38244,3.89195,3.54926,37,cluster0
2446,2015,148.69731,0.48026,74.31949,65.87547,84.10947,164.31796,50.49005,46.50445,0.73581,0,0.23315,0.00009,0.02991,0.00022,0.00006,0.00068,0,0.00007,0,6.3263,5.9815,5.99509,240,cluster3
2447,2015,136.33478,0.5629,67.93039,60.86664,77.63216,162.91925,52.44958,45.12024,0.73134,0,0.24364,0.00005,0.0237,0.00025,0.00032,0.00045,0.00015,0.00008,0.00003,6.65719,6.20054,6.04705,163,cluster3
2448,2015,132.58099,0.51802,66.47717,58.26229,74.47201,163.17094,52.60053,45.24551,0.74368,0,0.24914,0.00006,0.00606,0.00023,0.00009,0.00064,0,0.00005,0.00005,6.38247,5.96924,5.83601,98,cluster0
2449,2015,17.18955,0.77481,-4.10745,35.88047,40.85582,162.59109,52.99824,45.04187,0.86752,0,0.00922,0.00005,0.09129,0.00055,0.02853,0.00016,0.00079,0.00187,0.00004,6.2002,6.12393,6.18382,197,cluster0
2450,2015,194.92522,0.36498,110.00407,58.35526,79.41738,162.03743,52.35854,44.4652,0.90296,0,0.06487,0.00004,0.02064,0.00105,0.0031,0.00275,0.0034,0.00113,0.00006,5.82872,5.19871,4.63418,205,cluster0
2451,2015,198.13617,0.55883,109.62231,64.19957,86.10402,162.73918,54.24316,44.26386,0.86012,0,0.07575,0.00005,0.03314,0.0115,0.00651,0.00709,0.00439,0.00136,0.00009,6.5359,5.7592,5.07264,195,cluster3
2452,2015,190.36372,0.52605,105.57154,61.12589,82.11474,161.43742,52.25714,44.42196,0.88344,0.00087,0.05368,0.00004,0.03657,0.00874,0.00512,0.00666,0.00114,0.00355,0.00019,6.16462,5.67991,5.15301,238,cluster0
2453,2015,201.64339,0.26132,111.37364,65.75686,88.09174,162.05699,52.60984,44.68669,0.94743,0,0.02894,0.00005,0.01726,0.00091,0.00316,0.00014,0.00094,0.00112,0.00005,5.99849,5.36733,5.06863,138,cluster3
2454,2015,21.11787,0.88746,-3.76621,41.23137,47.05472,159.85565,52.25361,43.08212,0.8034,0,0.03646,0.00005,0.12011,0.00349,0.03268,0.00028,0.00077,0.00226,0.0005,6.70836,6.65432,6.66718,216,cluster0
2455,2015,211.61223,0.54786,109.27043,85.94459,111.10189,161.00861,53.27955,43.61579,0.40044,0.00011,0.53646,0.00005,0.0308,0.0217,0.00586,0.001,0.00196,0.00143,0.00018,7.21366,6.29204,5.64087,360,cluster4
2456,2015,214.0705,0.54186,115.07903,76.83954,101.2641,163.02972,52.49709,45.04846,0.68624,0,0.25466,0.00005,0.0378,0.00439,0.00809,0.00289,0.00349,0.00235,0.00005,7.13286,6.11556,5.28339,568,cluster4
2457,2015,208.89523,0.56905,112.60593,74.29419,98.0585,161.74115,52.14913,44.38804,0.72654,0,0.19718,0.00004,0.05232,0.00479,0.00953,0.00445,0.0018,0.00327,0.00008,6.9815,6.17466,5.42489,223,cluster3
2458,2015,204.13205,0.85553,106.84018,79.71855,103.66316,161.80203,52.3193,44.43331,0.64096,0.00027,0.23363,0.00004,0.06237,0.03763,0.01071,0.00605,0.00187,0.00637,0.00011,7.25476,6.42771,5.68583,293,cluster4
2459,2015,221.21474,0.54092,121.04729,74.66813,99.42737,162.07492,52.43277,44.57006,0.83199,0,0.11645,0.00004,0.02198,0.02102,0.00343,0.00024,0.00377,0.00095,0.00013,6.71953,5.77602,4.82803,318,cluster3
2460,2015,53.05422,0.7502,26.74063,23.00551,29.46072,162.59061,53.03545,45.08255,0.91727,0,0.00042,0.056,0.02527,0,0.00083,0.0001,0,0.00011,0,2.2142,2.64491,2.17486,110,cluster0
2461,2015,76.50163,0.96846,38.98571,32.22241,41.43409,163.08051,52.46613,45.0597,0.88285,0,0.00013,0.07038,0.04614,0,0.00024,0.00026,0,0.00001,0,2.71544,3.22188,2.68524,308,cluster0
2462,2015,68.37327,0.84205,35.00867,28.43101,36.62663,162.25874,52.23944,44.43649,0.89049,0.00246,0.00247,0.05737,0.03284,0.00006,0.00213,0.00704,0,0.00515,0,2.71884,3.09773,2.73209,131,cluster0
2463,2015,53.27716,0.60384,28.31562,19.84668,25.99875,165.24725,50.75703,45.33154,0.88666,0.015,0.01363,0.00038,0.03961,0.00081,0.00881,0.0313,0.00011,0.00369,0,2.58136,2.4997,2.71819,171,cluster0
2464,2015,47.2633,0.73688,24.08734,19.90353,25.5942,162.08395,52.42213,44.585,0.87953,0.01343,0.01328,0.02578,0.01966,0.01005,0.00838,0.02498,0.00003,0.0013,0.00358,2.19232,2.14801,1.99144,50,cluster0
2465,2015,68.67508,0.84773,35.09123,28.7167,36.96475,162.02361,52.6363,44.67278,0.8992,0,0.00024,0.07458,0.02548,0,0.00028,0.0002,0,0.00001,0,2.39538,2.93188,2.34773,118,cluster0
2466,2015,176.93488,1.55636,80.66924,95.66523,119.1149,161.49715,52.29456,44.44356,0.49877,0,0.0044,0,0.45943,0,0.03295,0.00009,0,0.00435,0,5.76218,7.48489,7.57981,41,cluster2
2467,2015,176.76888,1.37068,84.0795,87.81646,110.45699,166.12585,50.96566,45.83127,0.59727,0,0.00723,0,0.38048,0,0.0061,0.00008,0,0.00884,0,5.33559,7.34189,7.51007,108,cluster2
2468,2015,138.61325,2.90746,52.69259,98.32716,119.07002,156.10229,51.23289,44.80638,0.46239,0,0.06095,0,0.18032,0,0.29364,0.00012,0,0.00258,0,6.62954,7.32857,7.30856,15,cluster3
2469,1991,63.05726,2.83137,4.14165,88.86605,102.77981,163.40315,53.12496,44.95747,0.36028,0,0.02643,0,0.39232,0,0.10094,0.01332,0,0.10671,0,7.49849,7.5159,7.38285,31,cluster2
2470,1991,92.74479,1.2542,38.53536,58.49077,71.62914,162.59691,52.63006,45.11721,0.66317,0,0.0125,0,0.26151,0,0.01615,0.03735,0,0.00932,0,6.89401,7.01586,6.96196,136,cluster3
2471,1991,81.68157,1.27555,32.54404,54.61763,66.50366,162.83936,53.59089,44.5568,0.59013,0,0.05654,0,0.32829,0,0.00029,0.02445,0,0.00029,0,6.79455,6.76006,6.91935,29,cluster3
2472,1991,16.74991,1.20705,-13.62968,56.39124,63.41324,166.40318,51.11195,45.19081,0.34606,0,0.08741,0,0.54023,0,0.01878,0.00458,0,0.00294,0,6.90312,6.87815,6.95726,29,cluster2
2473,1991,138.78329,1.07656,68.49768,63.41261,80.62662,162.88176,52.92356,45.02603,0.68484,0,0.20697,0,0.10055,0.00014,0.00597,0.00007,0,0.00146,0,7.04509,6.70192,6.14286,110,cluster3
2474,1991,65.72512,0.51663,30.41311,34.54067,43.1504,161.33182,52.1451,44.31993,0.89611,0,0.07486,0,0.02731,0,0.00104,0.00027,0,0.00041,0,6.27163,6.03049,5.82688,68,cluster0
2475,1991,83.43541,1.29334,36.71953,48.05188,59.40807,166.58672,51.13941,45.64857,0.78496,0,0.04483,0,0.13555,0,0.02878,0.00077,0,0.00511,0,6.68158,6.70084,6.53985,287,cluster0
2476,1991,119.05933,1.05101,57.47939,57.25687,72.3142,162.78795,53.1607,45.00126,0.58734,0,0.33143,0,0.08067,0,0.00007,0.00002,0,0.00047,0,6.82706,6.47161,6.17764,209,cluster4
2477,1991,99.31167,0.46526,49.55463,44.1787,56.37524,166.33865,53.92738,42.93429,0.92299,0,0.0361,0,0.04048,0,0.00001,0.00013,0,0.00029,0,6.05336,5.99735,5.99271,231,cluster0
2478,1991,39.1772,0.39102,12.74672,32.56778,38.91509,161.20377,51.90106,43.44995,0.98165,0,0.01754,0,0.00054,0,0,0,0,0.00028,0,5.6907,5.50833,5.41573,5,cluster0
2479,1991,43.24226,2.01057,5.11814,55.87065,64.8978,162.19725,52.35406,44.52989,0.64053,0,0.05591,0,0.14607,0,0.01403,0.01393,0,0.12953,0,6.86624,6.74205,6.77703,14,cluster0
2480,1991,47.1309,3.63556,-7.71709,90.48809,103.32922,164.64185,53.58871,44.80442,0.42132,0,0.01221,0,0.17588,0,0.13353,0.00065,0,0.25642,0,7.33552,7.15957,6.9136,102,cluster3
2481,1991,214.47833,1.65426,101.49289,107.71405,135.30249,163.52322,54.42992,41.8245,0.16545,0.00002,0.28123,0,0.06919,0,0.00567,0.00137,0.40929,0.06779,0,5.46749,2.60945,3.23757,1,cluster4
2482,1991,181.82684,2.51483,88.9207,84.90847,107.64689,156.20825,51.09061,44.52522,0.2152,0.48496,0.0121,0,0.17517,0,0.01707,0.0093,0.00143,0.08478,0,3.91492,3.84317,5.7785,18,cluster3
2483,1991,62.0587,1.78868,-3.21283,103.68245,119.02175,161.99763,52.46218,44.72666,0.12003,0,0.06098,0.00707,0.74393,0,0.01879,0.01,0.00123,0.03797,0,4.33612,4.58152,4.7944,25,cluster2
2484,1991,38.44954,1.11123,11.87408,33.37823,39.75123,162.62582,52.32007,44.48765,0.66864,0.01875,0.15895,0.00026,0.13804,0.00065,0.00217,0.01063,0.00042,0.00149,0,4.78399,4.86102,5.10055,16,cluster0
2485,1991,214.28986,1.62026,110.78765,86.73256,112.1778,160.16089,52.45831,43.62379,0.11709,0.71505,0.01025,0,0.09222,0,0.00072,0.00898,0.00063,0.05505,0,3.46179,3.01197,4.25721,71,cluster1
2486,1991,144.41808,1.74553,54.26542,103.85567,125.61032,162.18988,52.48348,44.70146,0.07439,0,0.01129,0,0.17876,0,0.00179,0.6543,0.00027,0.07919,0,4.58009,3.81169,4.6426,21,cluster1
2487,1991,210.36674,0.81108,113.23365,75.1859,99.15499,162.2897,52.51408,44.71044,0.23507,0.64238,0.006,0,0.09668,0.00077,0.0024,0.01667,0.00003,0,0,2.95867,2.60032,5.04674,14,cluster3
2488,1991,131.09731,1.58511,48.94427,94.97927,114.79864,164.15733,53.38396,44.96315,0.07999,0.00002,0.06443,0,0.60608,0,0.0017,0.17569,0.00162,0.07047,0,4.88731,4.87523,5.21214,44,cluster2
2489,1991,171.93929,1.10582,74.10712,102.50068,126.25574,161.98257,52.60579,44.6772,0.26054,0.02513,0.00005,0.00007,0.68126,0,0.01655,0.00015,0,0.01625,0,5.53037,6.32386,6.30101,34,cluster2
2490,1991,145.60616,1.86627,56.97233,99.67863,121.10181,161.95345,52.21744,44.38392,0.10398,0,0.00746,0,0.15386,0,0.00101,0.65189,0.00002,0.08178,0,4.60789,4.4303,4.96368,1,cluster1
2491,1991,85.37574,1.57031,29.41161,67.33604,80.79932,163.04993,55.21377,43.02085,0.43545,0.00002,0.14003,0,0.38254,0.00776,0.0205,0.00445,0.00135,0.0043,0.0036,6.92097,6.81689,6.48922,51,cluster3
2492,1991,57.61517,1.67133,-21.94609,138.46721,156.99022,162.05217,52.48164,44.70935,0.02055,0.00101,0.06895,0,0.2362,0.00005,0.40918,0.00884,0,0.25523,0,6.72606,7.6662,7.49751,140,cluster1
2493,1991,73.17862,2.17463,-8.69976,133.19215,152.38901,163.42737,53.12434,44.96787,0.07071,0,0.129,0,0.16882,0.00376,0.34122,0.01771,0.0011,0.26768,0,6.74752,7.71536,7.68157,244,cluster1
2494,1991,40.42923,1.25673,-40.25578,152.48859,171.09904,162.20966,52.45105,44.67001,0.0592,0,0.01625,0,0.09041,0,0.32925,0.00003,0.00049,0.50438,0,6.89402,6.50339,7.11361,88,cluster1
2495,1991,60.4461,1.51832,-14.38792,126.04767,143.53064,162.74879,52.76584,45.02079,0.02603,0.00272,0.01452,0,0.43367,0.00007,0.3783,0.00401,0,0.14067,0.00001,7.38517,7.55475,7.50324,211,cluster2
2496,1991,59.14894,1.59873,-15.74348,127.04717,144.53078,162.07159,52.4122,44.59743,0.0348,0.00272,0.01443,0,0.41934,0.00001,0.36103,0.00341,0,0.16427,0,7.39757,7.61124,7.55808,205,cluster2
2497,1991,112.47063,1.35605,18.33191,134.14296,156.48853,161.42595,52.15943,44.34598,0.03282,0.03165,0.00459,0.00003,0.46964,0,0.3597,0.00333,0,0.09824,0,7.63946,7.4725,7.19463,144,cluster2
2498,1991,67.69656,1.55462,-13.22103,134.72836,153.65521,163.42809,53.19694,44.99683,0.04141,0,0.05848,0,0.29536,0.00001,0.39565,0.00294,0,0.20614,0,7.50875,7.60592,7.71994,75,cluster1
2499,1991,56.23466,1.68802,-21.19562,134.64946,152.67792,162.19778,52.39758,44.57926,0.03415,0,0.03112,0,0.33929,0,0.31994,0.00018,0,0.27532,0,7.38584,7.41815,7.52154,88,cluster1
2500,1991,65.68681,1.97593,-15.65172,137.0125,156.01492,161.91301,52.15651,44.33694,0.11807,0,0.03243,0,0.21074,0.00022,0.28954,0.00745,0,0.34154,0,6.82431,7.08341,7.12394,215,cluster1
2501,1991,49.03829,1.37944,-26.64155,135.57719,153.14076,162.14777,52.40693,44.53657,0.03222,0,0.00976,0,0.33141,0.00044,0.44626,0.00348,0,0.17643,0,7.21299,7.49981,7.50793,168,cluster1
2502,1991,69.78613,1.75918,-11.18987,133.45767,152.41792,161.88693,52.35703,44.48433,0.05852,0,0.07486,0,0.27139,0.00083,0.37414,0.00328,0,0.21698,0,7.25924,7.58422,7.64018,143,cluster1
2503,1991,42.22824,1.52578,-35.53324,144.77545,162.74315,162.29665,52.49844,44.74532,0.08572,0,0.00669,0,0.13474,0.00002,0.44767,0.00032,0.00019,0.32466,0,7.2244,6.35005,7.15347,98,cluster1
2504,1991,72.41195,2.28105,-8.0533,130.5607,149.43105,161.61662,52.14334,44.35556,0.10587,0,0.00418,0.00003,0.39732,0,0.19949,0.00425,0,0.28878,0.00009,7.64886,7.58277,7.66057,162,cluster2
2505,1991,48.06018,3.57384,-10.68814,98.54657,112.27741,162.30618,52.49952,44.7479,0.31723,0,0.16462,0,0.07421,0,0.11442,0.00743,0,0.32209,0,4.92312,5.28893,5.23518,167,cluster3
2506,1991,106.08272,1.99991,23.69871,112.26123,131.89069,162.18858,52.48929,44.76059,0.14697,0,0.10657,0,0.37878,0,0.28679,0.01455,0,0.06634,0,7.68926,7.82722,7.78233,94,cluster2
2507,1991,119.69258,1.8863,43.1924,90.04196,108.47451,161.27113,52.24133,44.40039,0.36633,0,0.19709,0,0.27023,0.00311,0.13021,0.0035,0.00001,0.0295,0.00002,7.66978,7.56444,7.53232,104,cluster3
2508,1991,169.34247,1.55961,71.12581,105.09718,128.91393,163.51146,53.31132,44.97359,0.10226,0.42248,0.13509,0,0.21925,0.00014,0.0433,0.00143,0,0.07604,0,7.1937,7.67447,7.49176,221,cluster1
2509,1991,90.00516,1.81093,4.87372,129.15363,149.24786,162.18974,52.47093,44.75606,0.07808,0,0.06443,0.00002,0.3391,0,0.34418,0.00333,0,0.17077,0.00008,7.38391,7.77535,7.7406,204,cluster1
2510,1991,238.53238,1.90221,112.01623,121.70684,152.58337,163.26825,53.09794,44.57521,0.05716,0.30359,0.00066,0,0.6033,0.00007,0.00064,0.00989,0.00005,0.02446,0.00018,1.55574,1.68031,2.28176,1,cluster2
2511,1991,244.88531,1.08317,106.56044,143.73225,177.33676,162.12157,52.4875,44.72979,0.0369,0.09568,0,0,0.852,0,0.00002,0.00407,0,0.01133,0,0.68429,0.89266,1.12493,1,cluster2
2512,1991,44.39783,3.55567,4.50933,59.02321,68.45995,159.2675,52.31327,43.35987,0.60725,0,0.00142,0.00006,0.25458,0,0.08912,0.00004,0.00005,0.04748,0,4.75622,4.83359,4.89053,6,cluster3
2513,1991,44.84954,3.55886,4.70845,59.28264,68.78079,164.01286,53.48829,44.2219,0.60557,0,0.00199,0.00008,0.25485,0,0.08908,0.00004,0.0001,0.04829,0,4.777,4.85011,4.90878,6,cluster3
2514,1991,146.12456,1.96497,56.65614,101.18879,122.80545,161.9933,52.60324,44.68444,0.32532,0,0.23722,0,0.30915,0.01604,0.1018,0.00024,0,0.00975,0.00049,7.85814,7.75185,7.25997,176,cluster4
2515,1991,172.67439,1.40237,78.01506,94.9458,117.99153,161.94777,52.18162,44.35452,0.33474,0,0.47725,0,0.09714,0.04192,0.04074,0.00004,0,0.00809,0.00009,7.64353,7.32153,6.60242,336,cluster4
2516,1991,144.81323,1.11712,62.04859,87.14649,107.23669,154.79517,49.29474,46.54335,0.44641,0.00002,0.33955,0.00007,0.14477,0.00359,0.06137,0.0016,0,0.00237,0.00024,7.19504,7.18804,6.62597,214,cluster4
2517,1990,22.71951,0.36988,11.10733,10.61705,13.45902,163.23996,52.59401,45.2631,0.94793,0,0.01235,0,0.03034,0.00152,0.00614,0.00003,0,0.00153,0.00015,1.51683,1.56118,1.51487,107,cluster0
2518,1990,104.29999,1.40383,35.1022,84.10625,100.74091,162.99451,52.46905,45.07824,0.52735,0,0.05054,0.0001,0.28635,0.00124,0.11544,0.00003,0,0.01886,0.00008,7.56835,7.73465,7.39373,687,cluster3
2519,1990,88.02901,1.23988,35.41178,58.10795,70.84116,162.88155,52.98074,45.04792,0.62695,0,0.12505,0,0.22693,0.00025,0.02071,0.00009,0,0.00001,0.00001,5.97697,5.83036,5.6131,8,cluster3
2520,1990,87.07389,2.01263,15.07573,101.88638,118.98668,164.59666,53.59811,44.96252,0.3603,0.00003,0.04128,0,0.2105,0.00555,0.37826,0.00047,0.00201,0.00159,0.00001,7.3906,7.51529,7.61114,212,cluster3
2521,1990,102.1161,0.78292,38.24929,73.70443,89.11419,164.35582,50.28912,45.59474,0.37176,0.00008,0.22533,0,0.37247,0.00635,0.00631,0.0168,0,0.00081,0.00008,7.41313,7.32256,7.26484,636,cluster3
2522,1990,115.36522,1.29683,40.16985,90.03842,108.13446,163.42657,53.19155,44.98585,0.32494,0,0.02069,0,0.58269,0.00111,0.06768,0.00075,0,0.0021,0.00003,7.22112,7.11118,7.05109,15,cluster2
2523,1990,118.48826,0.98727,49.10903,74.99938,91.81232,162.23645,52.50622,44.71389,0.50647,0.00002,0.20376,0,0.22347,0.02914,0.02929,0.00429,0.00004,0.00213,0.00139,7.63026,7.43828,7.10954,1001,cluster3
2524,1990,96.9366,0.97277,42.92491,55.24077,68.37505,163.01259,52.90651,45.02663,0.62755,0.00038,0.08879,0,0.26383,0.00053,0.00981,0.00448,0,0.00454,0.0001,5.905,6.12271,6.17852,660,cluster3
2525,1990,109.30151,0.87862,34.11255,94.0888,112.12471,161.91368,52.17173,44.36866,0.21983,0.00001,0.11389,0,0.60376,0.0131,0.04103,0.0038,0,0.00163,0.00295,7.55418,7.55547,7.47326,760,cluster2
2526,1990,58.17207,1.78705,8.64884,71.23508,82.9807,159.61771,52.33265,43.56642,0.44838,0.00002,0.01134,0,0.36528,0.00022,0.05249,0.00351,0,0.11876,0.00001,6.19682,6.20417,6.13334,79,cluster3
2527,1990,99.3666,0.99361,35.38058,75.81282,91.22289,163.36502,53.73634,44.61802,0.41636,0.00002,0.25886,0,0.2733,0.00592,0.03945,0.00127,0.00001,0.00346,0.00136,7.73737,7.46337,7.14004,544,cluster3
2528,1990,80.34742,1.20181,28.39847,61.76963,74.27759,162.04738,52.61111,44.69451,0.58007,0.00002,0.03064,0.00031,0.35918,0.00352,0.0219,0.00049,0,0.0036,0.00028,5.99437,6.21281,6.11853,874,cluster3
2529,1990,126.99877,1.07337,45.96783,95.22904,114.75537,162.28152,52.36682,44.53369,0.34805,0.00003,0.04382,0.00002,0.55877,0.014,0.02271,0.00029,0.00001,0.00763,0.00466,7.54429,7.76147,7.47774,734,cluster2
2530,1990,112.53799,0.93871,39.00755,88.22777,105.9205,162.29057,52.38327,44.50966,0.41569,0.00002,0.0789,0.00146,0.4483,0.00535,0.03305,0.00057,0,0.0122,0.00448,7.37206,7.6418,7.19792,1348,cluster2
2531,1990,98.05083,0.99177,32.66117,79.81902,95.53331,161.52777,52.32405,44.44447,0.42056,0,0.10574,0.00001,0.43908,0.00561,0.02525,0.00022,0.00028,0.00215,0.00109,7.53619,7.62314,7.29357,750,cluster2
2532,1990,105.62664,1.01036,36.7186,82.57205,99.15412,163.9321,53.26572,45.0142,0.39723,0.00002,0.17368,0,0.37747,0.0044,0.04057,0.00028,0,0.006,0.00036,7.58431,7.61127,7.34787,1302,cluster3
2533,1990,98.56131,1.00337,31.72361,82.69991,98.74611,164.03333,53.39885,44.99812,0.34183,0.00002,0.11033,0,0.51097,0.00388,0.02757,0.00357,0,0.00092,0.00093,7.60626,7.59795,7.40909,832,cluster2
2534,1990,60.91001,1.944,-5.68616,107.40082,123.02812,162.00204,52.40502,44.60406,0.29926,0,0.02479,0,0.20057,0.00212,0.46947,0.00076,0,0.00292,0.0001,7.28867,7.18552,7.15495,1,cluster1
2535,1990,85.61719,0.9037,26.1519,74.96707,89.22327,159.30728,52.48328,43.00522,0.43218,0,0.06731,0.00002,0.47955,0.00333,0.01577,0.00032,0,0.00148,0.00004,7.36062,7.50888,7.26704,961,cluster2
2536,1990,86.77163,1.22873,31.01568,65.93697,79.36675,162.95628,50.81881,46.45147,0.5006,0,0.0448,0,0.39746,0.02097,0.03135,0.00009,0,0.00104,0.00369,5.91705,6.0556,5.9899,549,cluster3
2537,1990,107.30512,0.84432,22.50937,116.80987,136.99573,162.8392,50.56776,46.22355,0.06216,0.00225,0.0161,0.03895,0.83762,0.00202,0.03717,0.00226,0,0.0012,0.00026,6.80059,6.47995,7.16346,235,cluster2
2538,1990,115.04504,0.82974,26.80323,119.2919,140.33081,162.79269,52.88839,45.08196,0.06624,0.00222,0.01761,0.03371,0.8556,0.00035,0.02284,0.00143,0,0,0,6.35117,6.06868,6.72326,285,cluster2
2539,1990,111.36461,0.81868,24.45321,118.79773,139.50061,163.26384,53.41972,44.70891,0.0593,0.00075,0.01576,0.03228,0.85919,0.00219,0.02814,0.00154,0,0,0.00085,6.41085,6.10314,6.80787,237,cluster2
2540,1990,214.60783,0.92624,111.7198,85.15238,110.46201,162.30409,52.51637,44.79569,0.28461,0.2371,0.05124,0,0.02073,0.02179,0.00589,0.01104,0.35081,0,0.01677,3.99866,3.79938,5.01894,21,cluster3
2541,1990,112.89581,0.82176,25.98952,117.75996,138.4765,163.47328,53.83373,44.50395,0.0619,0.00075,0.02231,0.03346,0.85048,0.00001,0.02711,0.00376,0,0.00021,0,6.36906,6.18993,6.82141,259,cluster2
2542,1990,183.93344,1.77423,85.41169,95.9956,120.02245,161.22552,52.19238,44.35433,0.57211,0.00222,0.0807,0.00372,0.26593,0.00043,0.07359,0.00016,0,0.00115,0,5.10738,5.15727,4.90293,84,cluster3
2543,1990,177.57167,1.84722,80.29684,97.48463,121.16835,162.01497,52.46948,44.72758,0.54472,0.00148,0.07898,0.00374,0.27888,0.00665,0.08135,0.00011,0.00012,0.00141,0.00257,5.52206,5.5462,5.19637,101,cluster3
2544,1990,212.79655,0.88873,111.44755,82.94093,107.88551,161.27271,53.32926,43.87378,0.31124,0.2385,0.0103,0,0.04218,0.01627,0.00359,0.01034,0.35059,0.00004,0.01694,3.87463,3.73427,5.08536,18,cluster3
2545,1990,190.67889,1.63863,90.75971,94.58439,118.99206,163.18994,53.42075,44.51322,0.60552,0.00148,0.07358,0.01192,0.23967,0.00292,0.06236,0.00016,0.00058,0.00085,0.00097,5.15187,5.17628,4.70258,116,cluster3
2546,1990,177.91869,1.75184,79.95848,98.77755,122.61939,165.79079,50.98858,45.76193,0.53394,0.00147,0.06605,0.00621,0.31488,0.00354,0.06931,0.00168,0.00058,0.00115,0.00119,5.92132,5.946,5.53421,142,cluster3
2547,1990,182.80676,1.69799,83.98497,97.41867,121.50237,163.02744,53.26971,44.90267,0.51775,0,0.08634,0.00665,0.28434,0.00351,0.06698,0.00167,0.03052,0.00105,0.00119,6.09569,6.04461,5.34819,126,cluster3
2548,1990,185.48801,0.98717,96.6401,73.42146,95.27893,161.96136,52.48148,44.73712,0.55799,0.00368,0.33805,0,0.08048,0.00912,0.0087,0.00025,0,0,0.00172,6.27518,5.61309,4.23549,110,cluster4
2549,1990,184.15363,0.9465,96.11643,72.51143,94.17292,159.01286,52.16137,42.44181,0.5657,0.00221,0.33887,0,0.07548,0.00404,0.01323,0.00007,0,0.0004,0,6.25633,5.56824,4.18259,145,cluster4
2550,1990,162.99049,1.37326,80.30444,74.78695,95.03533,163.74568,53.88446,43.88697,0.52886,0.00073,0.26759,0,0.15401,0.00581,0.04233,0.00067,0,0,0,6.39538,5.89503,4.87356,83,cluster4
2551,1990,137.20415,0.3499,53.45608,94.43595,114.67459,165.04213,53.87292,45.05314,0,0,0,0,0.03121,0,0.05625,0.9121,0,0.00044,0,2.02309,1.99713,2.05963,34,cluster3
2552,1991,153.92514,2.23999,61.1223,103.38167,125.82675,162.83897,55.30895,44.54754,0.23489,0.00226,0.00729,0,0.28357,0.00251,0.26537,0.1968,0.00021,0.00673,0.00039,6.95884,6.69764,7.10337,220,cluster1
2553,1991,156.72533,2.19001,62.92863,103.71675,126.41335,163.23775,53.15201,45.04617,0.23115,0.00307,0.01776,0,0.29171,0.00907,0.25008,0.19085,0,0.0058,0.00051,6.92156,6.71714,7.11569,230,cluster1
2554,1991,175.70868,2.11318,78.28668,99.06101,122.75993,163.18935,52.84516,44.65484,0.27109,0.00459,0.01859,0,0.25309,0.01089,0.19865,0.23456,0.00376,0.00449,0.00029,6.77042,6.40841,7.26648,157,cluster3
2555,1991,173.94307,2.12733,76.89753,99.40663,123.00346,163.59438,52.52696,44.90608,0.25978,0.00345,0.05856,0,0.22603,0.01652,0.21278,0.21121,0.00694,0.00473,0,7.00156,6.44462,7.25979,160,cluster3
2556,1991,249.41779,1.57139,125.86948,107.80426,138.116,163.31258,52.3517,44.61046,0.119,0.00134,0.64177,0.00453,0.01772,0.08619,0.0015,0.00065,0.11902,0.0005,0.00777,7.35265,3.9809,3.20221,58,cluster4
2557,1991,249.1852,1.18372,127.27431,104.31557,134.25529,161.66527,52.15629,44.2953,0.09077,0.00133,0.8033,0.00707,0.00819,0.05606,0.00487,0.00272,0.02247,0.0005,0.00272,7.02495,3.78712,3.17936,271,cluster4
2558,1991,252.28548,0.47813,128.66887,106.034,136.3889,153.64987,58.08041,39.88989,0.07787,0.00135,0.74903,0.00406,0.00801,0.00088,0.00003,0.00044,0.15783,0.0005,0.00002,7.04794,2.59239,2.31369,128,cluster4
2559,1991,252.38634,0.49706,128.6842,106.15674,136.53194,163.76492,52.89176,44.5165,0.07692,0.00135,0.75565,0.00479,0.00592,0.00517,0.00008,0.00043,0.14913,0.0005,0.00006,7.05689,2.60708,2.28859,128,cluster4
2560,1991,252.12637,0.52748,128.69896,105.71953,136.03017,163.23698,52.34385,44.75191,0.09145,0.00135,0.73418,0.0017,0.00608,0.00583,0.0001,0.00045,0.15502,0.0005,0.00334,7.08217,2.70199,2.39525,127,cluster4
2561,1991,73.90533,2.17354,36.14758,34.50104,43.7422,162.71057,52.29871,44.49041,0.85974,0.02216,0.00298,0,0.00863,0.03758,0.02073,0.00229,0.00002,0.03723,0.00864,2.39693,2.50995,2.30675,47,cluster0
